"year","duration","years","track","artist"
"2010","3.56","Years 2010-2019","Love.","Kendrick Lamar Featuring Zacari"
"2010","3.58","Years 2010-2019","Birthday","Katy Perry"
"2010","4.06","Years 2010-2019","Take Your Time","Sam Hunt"
"2010","3.62","Years 2010-2019","Make Me Like You","Gwen Stefani"
"2010","3.24","Years 2010-2019","Hell On Heels","Pistol Annies"
"2010","3.3","Years 2010-2019","Don't","Bryson Tiller"
"2010","3.27","Years 2010-2019","Be Alright","Dean Lewis"
"2010","3.17","Years 2010-2019","Back To You","Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals"
"2010","3.1","Years 2010-2019","Tip Toe","Roddy Ricch Featuring A Boogie Wit da Hoodie"
"2010","4.01","Years 2010-2019","How To Love","Lil Wayne"
"2010","3.12","Years 2010-2019","Get Me Some Of That","Thomas Rhett"
"2010","2.83","Years 2010-2019","Real Life","Jake Owen"
"2010","5.75","Years 2010-2019","Self Care","Mac Miller"
"2010","3.91","Years 2010-2019","California Gurls","Katy Perry Featuring Snoop Dogg"
"2010","3.03","Years 2010-2019","The Motto","Drake Featuring Lil Wayne"
"2010","2.11","Years 2010-2019","Look At Me!","XXXTENTACION"
"2000","3.91","Years 2000-2009","T-Shirt","Shontelle"
"2000","6.25","Years 2000-2009","Successful","Drake Featuring Trey Songz & Lil Wayne"
"2000","4.76","Years 2000-2009","My Town","Montgomery Gentry"
"2000","3.44","Years 2000-2009","Summertime","Kenny Chesney"
"2000","3.6","Years 2000-2009","The Time Of My Life","David Cook"
"2000","2.63","Years 2000-2009","Blue Orchid","The White Stripes"
"2000","4.94","Years 2000-2009","The One","Mary J. Blige Featuring Drake"
"2000","4.96","Years 2000-2009","American Life","Madonna"
"2000","2.85","Years 2000-2009","Boots On","Randy Houser"
"2000","4.83","Years 2000-2009","N 2 Gether Now","Limp Bizkit Featuring Method Man"
"2000","4.16","Years 2000-2009","Find A Way","Dwele"
"2000","4.21","Years 2000-2009","If You're Reading This","Tim McGraw"
"2000","3.36","Years 2000-2009","High Maintenance Woman","Toby Keith"
"2000","2.76","Years 2000-2009","Don't Rain On My Parade","Glee Cast"
"2000","3.11","Years 2000-2009","I'm Not Okay (I Promise)","My Chemical Romance"
"2000","3.51","Years 2000-2009","Without You","Dixie Chicks"
"2000","4.68","Years 2000-2009","She Bangs","Ricky Martin"
"2000","5.79","Years 2000-2009","Rubber Band Man","T.I."
"2000","3.9","Years 2000-2009","Kryptonite","3 Doors Down"
"2000","3.74","Years 2000-2009","But For The Grace Of God","Keith Urban"
"2000","5.45","Years 2000-2009","This Is War","Thirty Seconds To Mars"
"2000","2.96","Years 2000-2009","Call Me","Tweet"
"2000","4.05","Years 2000-2009","Tipsy","J-Kwon"
"2000","3.85","Years 2000-2009","You Can't Hide Beautiful","Aaron Lines"
"2000","3.83","Years 2000-2009","South Side","Moby Featuring Gwen Stefani"
"2000","4.91","Years 2000-2009","Rehab","Rihanna"
"2000","3.97","Years 2000-2009","Whiskey Girl","Toby Keith"
"2000","3.68","Years 2000-2009","One More Drink","Ludacris Co-Starring T-Pain"
"2000","3.7","Years 2000-2009","A Milli","Lil Wayne"
"2000","4.64","Years 2000-2009","Girl","Paul Wall"
"2000","3.44","Years 2000-2009","I Just Wanna Be Mad","Terri Clark"
"2000","4.31","Years 2000-2009","Shoulder Lean","Young Dro Featuring T.I."
"2000","2.51","Years 2000-2009","Like Whoa","Aly & AJ"
"2000","3.65","Years 2000-2009","Hate That I Love You","Rihanna Featuring Ne-Yo"
"2000","2.93","Years 2000-2009","What Would You Do?","City High"
"2000","3.37","Years 2000-2009","Party In The U.S.A.","Miley Cyrus"
"2000","3.81","Years 2000-2009","Real Big","Mannie Fresh"
"2000","4.18","Years 2000-2009","Deep Inside Of You","Third Eye Blind"
"2000","3.47","Years 2000-2009","If It's Lovin' That You Want","Rihanna"
"2000","4.03","Years 2000-2009","Just Dance","Lady Gaga Featuring Colby O'Donis"
"2000","2.88","Years 2000-2009","Up!","Shania Twain"
"2000","4.22","Years 2000-2009","I'm Already There","Lonestar"
"2000","3.63","Years 2000-2009","Country Comes To Town","Toby Keith"
"2000","4.42","Years 2000-2009","Wanna Get To Know You","G-Unit Featuring Joe"
"2000","2.92","Years 2000-2009","Who Says","John Mayer"
"2000","4.36","Years 2000-2009","Wait For You","Elliott Yamin"
"2000","4.04","Years 2000-2009","Fade","Staind"
"2000","3.63","Years 2000-2009","Thank You","Dido"
"2000","4.06","Years 2000-2009","Here Comes Goodbye","Rascal Flatts"
"2000","3.23","Years 2000-2009","Dirty Little Secret","The All-American Rejects"
"2000","4.84","Years 2000-2009","Without Me","Eminem"
"2000","4","Years 2000-2009","I Don't Wanna Stop","Ozzy Osbourne"
"2000","3.51","Years 2000-2009","Lo Que Me Gusta A Mi","Juanes"
"2000","4.74","Years 2000-2009","Stay","Sugarland"
"2000","4.44","Years 2000-2009","Naked","Marques Houston"
"2000","3.42","Years 2000-2009","Alive","P.O.D."
"2000","4.06","Years 2000-2009","Take A Message","Remy Shand"
"2000","4.56","Years 2000-2009","I Turn To You","Christina Aguilera"
"2000","4.86","Years 2000-2009","Caught Out There","Kelis"
"2000","3.83","Years 2000-2009","Bring Out The Freak In You","Lil Rob"
"2000","3.86","Years 2000-2009","Again","Lenny Kravitz"
"2000","3.99","Years 2000-2009","I Try","Macy Gray"
"2000","5.08","Years 2000-2009","Love","Musiq Soulchild"
"2000","3.16","Years 2000-2009","Wind It Up","Gwen Stefani"
"2000","5.18","Years 2000-2009","All Good Things (Come To An End)","Nelly Furtado"
"2000","3.23","Years 2000-2009","Fake It","Seether"
"2000","3.75","Years 2000-2009","More Than That","Backstreet Boys"
"2000","3.34","Years 2000-2009","Mirror Mirror","M2M"
"2000","3.17","Years 2000-2009","Pictures Of You","The Last Goodnight"
"2000","3.13","Years 2000-2009","Jenny From The Block","Jennifer Lopez Featuring Styles & Jadakiss"
"2000","3.3","Years 2000-2009","Number One","Pharrell Featuring Kanye West"
"2000","3.51","Years 2000-2009","Check On It","Beyonce Featuring Slim Thug"
"2000","3.4","Years 2000-2009","Big Green Tractor","Jason Aldean"
"2000","3.78","Years 2000-2009","Freaky Gurl","Gucci Mane"
"2000","5.4","Years 2000-2009","Magnificent","U2"
"2000","4.81","Years 2000-2009","Crying Out For Me","Mario"
"2000","4.43","Years 2000-2009","Steal My Sunshine","Len"
"2000","4.06","Years 2000-2009","U Know What's Up","Donell Jones"
"2000","4.17","Years 2000-2009","Between Me And You","Ja Rule Featuring Christina Milian"
"2000","3.16","Years 2000-2009","Things That Never Cross A Man's Mind","Kellie Pickler"
"2000","3.78","Years 2000-2009","In Another World","Joe Diffie"
"2000","4.39","Years 2000-2009","Naggin","Ying Yang Twins"
"2000","4","Years 2000-2009","Way Of Life","Lil Wayne"
"2000","3.63","Years 2000-2009","Hips Don't Lie","Shakira Featuring Wyclef Jean"
"2000","4.12","Years 2000-2009","Hanginaround","Counting Crows"
"2000","4.52","Years 2000-2009","Say My Name","Destiny's Child"
"2000","4.03","Years 2000-2009","Shuttin' Detroit Down","John Rich"
"2000","3.59","Years 2000-2009","I Am Mine","Pearl Jam"
"2000","3.37","Years 2000-2009","Year 3000","Jonas Brothers"
"2000","4.28","Years 2000-2009","Don't Bother","Shakira"
"2000","3.68","Years 2000-2009","Little Moments","Brad Paisley"
"2000","3.17","Years 2000-2009","Teenage Love Affair","Alicia Keys"
"2000","4.63","Years 2000-2009","The World's Greatest","R. Kelly"
"2000","5.21","Years 2000-2009","The Adventure","Angels & Airwaves"
"2000","2.62","Years 2000-2009","One Step Closer","Linkin Park"
"2000","4.57","Years 2000-2009","She Got It","2 Pistols Featuring T-Pain & Tay Dizm"
"2000","4.72","Years 2000-2009","24's","T.I."
"2000","5.59","Years 2000-2009","Been There","Clint Black With Steve Wariner"
"2000","3.61","Years 2000-2009","Make Her Say","Kid Cudi Featuring Kanye West & Common"
"2000","4.31","Years 2000-2009","Move Ya Body","Nina Sky Featuring Jabba"
"2000","3.68","Years 2000-2009","Man To Man","Gary Allan"
"2000","3.49","Years 2000-2009","Rhythm Divine","Enrique Iglesias"
"2000","3.65","Years 2000-2009","Freeze","T-Pain Featuring Chris Brown"
"2000","3.46","Years 2000-2009","Chain Hang Low","Jibbs"
"2000","4.97","Years 2000-2009","Beautiful","Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson"
"2000","4.41","Years 2000-2009","No Air","Jordin Sparks Duet With Chris Brown"
"2000","3.6","Years 2000-2009","If My Heart Had Wings","Faith Hill"
"2000","4.24","Years 2000-2009","Lost Without U","Robin Thicke"
"2000","3.25","Years 2000-2009","River Of Love","George Strait"
"2000","3.84","Years 2000-2009","This Is My Now","Jordin Sparks"
"2000","3.97","Years 2000-2009","Beautiful Love","The Afters"
"2000","4.08","Years 2000-2009","100 Years","Five For Fighting"
"2000","3.86","Years 2000-2009","No Such Thing","John Mayer"
"2000","3.62","Years 2000-2009","King Of The Dancehall","Beenie Man"
"2000","4.05","Years 2000-2009","All My Friends Say","Luke Bryan"
"2000","3.7","Years 2000-2009","Forgot About Dre","Dr. Dre Featuring Eminem"
"2000","3.95","Years 2000-2009","I Know You Want Me (Calle Ocho)","Pitbull"
"2000","3.46","Years 2000-2009","Someday","Nickelback"
"2000","4.28","Years 2000-2009","I Belong To You","Lenny Kravitz"
"2000","4.08","Years 2000-2009","The Cowboy In Me","Tim McGraw"
"2000","3.82","Years 2000-2009","Killa","Cherish Featuring Yung Joc"
"2000","3.85","Years 2000-2009","Are You Happy Now?","Michelle Branch"
"2000","4.53","Years 2000-2009","Beer In Mexico","Kenny Chesney"
"2000","4.47","Years 2000-2009","Trading Places","Usher"
"2000","4.12","Years 2000-2009","Nasty Girl","Nitty"
"2000","3.27","Years 2000-2009","La La Land","Demi Lovato"
"2000","4.04","Years 2000-2009","Just Fine","Mary J. Blige"
"2000","3.66","Years 2000-2009","Stay The Night","IMx"
"2000","3.41","Years 2000-2009","Teardrops On My Guitar","Taylor Swift"
"2000","6.3","Years 2000-2009","I Wish You'd Stay","Brad Paisley"
"2000","3.49","Years 2000-2009","Shawty Get Loose","Lil Mama Featuring Chris Brown & T-Pain"
"2000","3.24","Years 2000-2009","Vertigo","U2"
"2000","3.45","Years 2000-2009","Remedy","Seether"
"2000","3.15","Years 2000-2009","You're A Jerk","New Boyz"
"2000","2.95","Years 2000-2009","Big Blue Note","Toby Keith"
"2000","3.49","Years 2000-2009","Puppy Love","Lil Bow Wow Featuring Jagged Edge"
"2000","4.61","Years 2000-2009","One Call Away","Chingy Featuring J. Weav"
